condition,agent,block,cumulative_reward
healthy,1,1,3.925
healthy,1,2,4.5
healthy,1,3,8.7
healthy,1,4,7.95
healthy,1,5,10.975
healthy,2,1,3.925
healthy,2,2,4.5
healthy,2,3,8.7
healthy,2,4,7.95
healthy,2,5,10.975
healthy,3,1,3.925
healthy,3,2,4.5
healthy,3,3,8.7
healthy,3,4,7.95
healthy,3,5,10.975
healthy,4,1,3.925
healthy,4,2,4.5
healthy,4,3,8.7
healthy,4,4,7.95
healthy,4,5,10.975
healthy,5,1,3.925
healthy,5,2,4.5
healthy,5,3,8.7
healthy,5,4,7.95
healthy,5,5,10.975
healthy,6,1,3.925
healthy,6,2,4.5
healthy,6,3,8.7
healthy,6,4,7.95
healthy,6,5,10.975
healthy,7,1,3.925
healthy,7,2,4.5
healthy,7,3,8.7
healthy,7,4,7.95
healthy,7,5,10.975
healthy,8,1,3.925
healthy,8,2,4.5
healthy,8,3,8.7
healthy,8,4,7.95
healthy,8,5,10.975
healthy,9,1,3.925
healthy,9,2,4.5
healthy,9,3,8.7
healthy,9,4,7.95
healthy,9,5,10.975
healthy,10,1,3.925
healthy,10,2,4.5
healthy,10,3,8.7
healthy,10,4,7.95
healthy,10,5,10.975
healthy,11,1,3.925
healthy,11,2,4.5
healthy,11,3,8.7
healthy,11,4,7.95
healthy,11,5,10.975
healthy,12,1,3.925
healthy,12,2,4.5
healthy,12,3,8.7
healthy,12,4,7.95
healthy,12,5,10.975
healthy,13,1,3.925
healthy,13,2,4.5
healthy,13,3,8.7
healthy,13,4,7.95
healthy,13,5,10.975
healthy,14,1,3.925
healthy,14,2,4.5
healthy,14,3,8.7
healthy,14,4,7.95
healthy,14,5,10.975
healthy,15,1,3.925
healthy,15,2,4.5
healthy,15,3,8.7
healthy,15,4,7.95
healthy,15,5,10.975
healthy,16,1,3.925
healthy,16,2,4.5
healthy,16,3,8.7
healthy,16,4,7.95
healthy,16,5,10.975
healthy,17,1,3.925
healthy,17,2,4.5
healthy,17,3,8.7
healthy,17,4,7.95
healthy,17,5,10.975
healthy,18,1,3.925
healthy,18,2,4.5
healthy,18,3,8.7
healthy,18,4,7.95
healthy,18,5,10.975
healthy,19,1,3.925
healthy,19,2,4.5
healthy,19,3,8.7
healthy,19,4,7.95
healthy,19,5,10.975
healthy,20,1,3.925
healthy,20,2,4.5
healthy,20,3,8.7
healthy,20,4,7.95
healthy,20,5,10.975
healthy,21,1,3.925
healthy,21,2,4.5
healthy,21,3,8.7
healthy,21,4,7.95
healthy,21,5,10.975
healthy,22,1,3.925
healthy,22,2,4.5
healthy,22,3,8.7
healthy,22,4,7.95
healthy,22,5,10.975
healthy,23,1,3.925
healthy,23,2,4.5
healthy,23,3,8.7
healthy,23,4,7.95
healthy,23,5,10.975
healthy,24,1,3.925
healthy,24,2,4.5
healthy,24,3,8.7
healthy,24,4,7.95
healthy,24,5,10.975
healthy,25,1,3.925
healthy,25,2,4.5
healthy,25,3,8.7
healthy,25,4,7.95
healthy,25,5,10.975
healthy,26,1,3.925
healthy,26,2,4.5
healthy,26,3,8.7
healthy,26,4,7.95
healthy,26,5,10.975
healthy,27,1,3.925
healthy,27,2,4.5
healthy,27,3,8.7
healthy,27,4,7.95
healthy,27,5,10.975
healthy,28,1,3.925
healthy,28,2,4.5
healthy,28,3,8.7
healthy,28,4,7.95
healthy,28,5,10.975
healthy,29,1,3.925
healthy,29,2,4.5
healthy,29,3,8.7
healthy,29,4,7.95
healthy,29,5,10.975
healthy,30,1,3.925
healthy,30,2,4.5
healthy,30,3,8.7
healthy,30,4,7.95
healthy,30,5,10.975
healthy,31,1,3.925
healthy,31,2,4.5
healthy,31,3,8.7
healthy,31,4,7.95
healthy,31,5,10.975
healthy,32,1,3.925
healthy,32,2,4.5
healthy,32,3,8.7
healthy,32,4,7.95
healthy,32,5,10.975
healthy,33,1,3.925
healthy,33,2,4.5
healthy,33,3,8.7
healthy,33,4,7.95
healthy,33,5,10.975
healthy,34,1,3.925
healthy,34,2,4.5
healthy,34,3,8.7
healthy,34,4,7.95
healthy,34,5,10.975
healthy,35,1,3.925
healthy,35,2,4.5
healthy,35,3,8.7
healthy,35,4,7.95
healthy,35,5,10.975
healthy,36,1,3.925
healthy,36,2,4.5
healthy,36,3,8.7
healthy,36,4,7.95
healthy,36,5,10.975
healthy,37,1,3.925
healthy,37,2,4.5
healthy,37,3,8.7
healthy,37,4,7.95
healthy,37,5,10.975
healthy,38,1,3.925
healthy,38,2,4.5
healthy,38,3,8.7
healthy,38,4,7.95
healthy,38,5,10.975
healthy,39,1,3.925
healthy,39,2,4.5
healthy,39,3,8.7
healthy,39,4,7.95
healthy,39,5,10.975
healthy,40,1,3.925
healthy,40,2,4.5
healthy,40,3,8.7
healthy,40,4,7.95
healthy,40,5,10.975
healthy,41,1,3.925
healthy,41,2,4.5
healthy,41,3,8.7
healthy,41,4,7.95
healthy,41,5,10.975
healthy,42,1,3.925
healthy,42,2,4.5
healthy,42,3,8.7
healthy,42,4,7.95
healthy,42,5,10.975
healthy,43,1,3.925
healthy,43,2,4.5
healthy,43,3,8.7
healthy,43,4,7.95
healthy,43,5,10.975
healthy,44,1,3.925
healthy,44,2,4.5
healthy,44,3,8.7
healthy,44,4,7.95
healthy,44,5,10.975
healthy,45,1,3.925
healthy,45,2,4.5
healthy,45,3,8.7
healthy,45,4,7.95
healthy,45,5,10.975
healthy,46,1,3.925
healthy,46,2,4.5
healthy,46,3,8.7
healthy,46,4,7.95
healthy,46,5,10.975
healthy,47,1,3.925
healthy,47,2,4.5
healthy,47,3,8.7
healthy,47,4,7.95
healthy,47,5,10.975
healthy,48,1,3.925
healthy,48,2,4.5
healthy,48,3,8.7
healthy,48,4,7.95
healthy,48,5,10.975
healthy,49,1,3.925
healthy,49,2,4.5
healthy,49,3,8.7
healthy,49,4,7.95
healthy,49,5,10.975
healthy,50,1,3.925
healthy,50,2,4.5
healthy,50,3,8.7
healthy,50,4,7.95
healthy,50,5,10.975
depleted,1,1,3.925
depleted,1,2,4.5
depleted,1,3,8.7
depleted,1,4,7.95
depleted,1,5,10.975
depleted,2,1,3.925
depleted,2,2,4.5
depleted,2,3,8.7
depleted,2,4,7.95
depleted,2,5,10.975
depleted,3,1,3.925
depleted,3,2,4.5
depleted,3,3,8.7
depleted,3,4,7.95
depleted,3,5,10.975
depleted,4,1,3.925
depleted,4,2,4.5
depleted,4,3,8.7
depleted,4,4,7.95
depleted,4,5,10.975
depleted,5,1,3.925
depleted,5,2,4.5
depleted,5,3,8.7
depleted,5,4,7.95
depleted,5,5,10.975
depleted,6,1,3.925
depleted,6,2,4.5
depleted,6,3,8.7
depleted,6,4,7.95
depleted,6,5,10.975
depleted,7,1,3.925
depleted,7,2,4.5
depleted,7,3,8.7
depleted,7,4,7.95
depleted,7,5,10.975
depleted,8,1,3.925
depleted,8,2,4.5
depleted,8,3,8.7
depleted,8,4,7.95
depleted,8,5,10.975
depleted,9,1,3.925
depleted,9,2,4.5
depleted,9,3,8.7
depleted,9,4,7.95
depleted,9,5,10.975
depleted,10,1,3.925
depleted,10,2,4.5
depleted,10,3,8.7
depleted,10,4,7.95
depleted,10,5,10.975
depleted,11,1,3.925
depleted,11,2,4.5
depleted,11,3,8.7
depleted,11,4,7.95
depleted,11,5,10.975
depleted,12,1,3.925
depleted,12,2,4.5
depleted,12,3,8.7
depleted,12,4,7.95
depleted,12,5,10.975
depleted,13,1,3.925
depleted,13,2,4.5
depleted,13,3,8.7
depleted,13,4,7.95
depleted,13,5,10.975
depleted,14,1,3.925
depleted,14,2,4.5
depleted,14,3,8.7
depleted,14,4,7.95
depleted,14,5,10.975
depleted,15,1,3.925
depleted,15,2,4.5
depleted,15,3,8.7
depleted,15,4,7.95
depleted,15,5,10.975
depleted,16,1,3.925
depleted,16,2,4.5
depleted,16,3,8.7
depleted,16,4,7.95
depleted,16,5,10.975
depleted,17,1,3.925
depleted,17,2,4.5
