condition,agent,total_reward
healthy,1,55933.5
healthy,2,55933.5
healthy,3,55933.5
healthy,4,55933.5
healthy,5,55933.5
healthy,6,55933.5
healthy,7,55933.5
healthy,8,55933.5
healthy,9,55933.5
healthy,10,55933.5
healthy,11,55933.5
healthy,12,55933.5
healthy,13,55933.5
healthy,14,55933.5
healthy,15,55933.5
healthy,16,55933.5
healthy,17,55933.5
healthy,18,55933.5
healthy,19,55933.5
healthy,20,55933.5
healthy,21,55933.5
healthy,22,55933.5
healthy,23,55933.5
healthy,24,55933.5
healthy,25,55933.5
healthy,26,55933.5
healthy,27,55933.5
healthy,28,55933.5
healthy,29,55933.5
healthy,30,55933.5
healthy,31,55933.5
healthy,32,55933.5
healthy,33,55933.5
healthy,34,55933.5
healthy,35,55933.5
healthy,36,55933.5
healthy,37,55933.5
healthy,38,55933.5
healthy,39,55933.5
healthy,40,55933.5
healthy,41,55933.5
healthy,42,55933.5
healthy,43,55933.5
healthy,44,55933.5
healthy,45,55933.5
healthy,46,55933.5
healthy,47,55933.5
healthy,48,55933.5
healthy,49,55933.5
healthy,50,55933.5
depleted,1,55933.5
depleted,2,55933.5
depleted,3,55933.5
depleted,4,55933.5
depleted,5,55933.5
depleted,6,55933.5
depleted,7,55933.5
depleted,8,55933.5
depleted,9,55933.5
depleted,10,55933.5
depleted,11,55933.5
depleted,12,55933.5
depleted,13,55933.5
depleted,14,55933.5
depleted,15,55933.5
depleted,16,55933.5
depleted,17,55933.5
depleted,18,55933.5
depleted,19,55933.5
depleted,20,55933.5
depleted,21,55933.5
depleted,22,55933.5
depleted,23,55933.5
depleted,24,55933.5
depleted,25,55933.5
depleted,26,55933.5
depleted,27,55933.5
depleted,28,55933.5
depleted,29,55933.5
depleted,30,55933.5
depleted,31,55933.5
depleted,32,55933.5
depleted,33,55933.5
depleted,34,55933.5
depleted,35,55933.5
depleted,36,55933.5
depleted,37,55933.5
depleted,38,55933.5
depleted,39,55933.5
depleted,40,55933.5
depleted,41,55933.5
depleted,42,55933.5
depleted,43,55933.5
depleted,44,55933.5
depleted,45,55933.5
depleted,46,55933.5
depleted,47,55933.5
depleted,48,55933.5
depleted,49,55933.5
depleted,50,55933.5
overactive,1,55933.5
overactive,2,55933.5
overactive,3,55933.5
overactive,4,55933.5
overactive,5,55933.5
overactive,6,55933.5
overactive,7,55933.5
overactive,8,55933.5
overactive,9,55933.5
overactive,10,55933.5
overactive,11,55933.5
overactive,12,55933.5
overactive,13,55933.5
overactive,14,55933.5
overactive,15,55933.5
overactive,16,55933.5
overactive,17,55933.5
overactive,18,55933.5
overactive,19,55933.5
overactive,20,55933.5
overactive,21,55933.5
overactive,22,55933.5
overactive,23,55933.5
overactive,24,55933.5
overactive,25,55933.5
overactive,26,55933.5
overactive,27,55933.5
overactive,28,55933.5
overactive,29,55933.5
overactive,30,55933.5
overactive,31,55933.5
overactive,32,55933.5
overactive,33,55933.5
overactive,34,55933.5
overactive,35,55933.5
overactive,36,55933.5
overactive,37,55933.5
overactive,38,55933.5
overactive,39,55933.5
overactive,40,55933.5
overactive,41,55933.5
overactive,42,55933.5
overactive,43,55933.5
overactive,44,55933.5
overactive,45,55933.5
overactive,46,55933.5
overactive,47,55933.5
overactive,48,55933.5
overactive,49,55933.5
overactive,50,55933.5
