condition,agent,block,net_score
healthy,1,1,-0.0049999999999999906
healthy,1,2,0.004000000000000006
healthy,1,3,-0.028000000000000004
healthy,1,4,0.04
healthy,1,5,0.017000000000000008
healthy,2,1,-0.0049999999999999906
healthy,2,2,0.004000000000000006
healthy,2,3,-0.028000000000000004
healthy,2,4,0.04
healthy,2,5,0.017000000000000008
healthy,3,1,-0.0049999999999999906
healthy,3,2,0.004000000000000006
healthy,3,3,-0.028000000000000004
healthy,3,4,0.04
healthy,3,5,0.017000000000000008
healthy,4,1,-0.0049999999999999906
healthy,4,2,0.004000000000000006
healthy,4,3,-0.028000000000000004
healthy,4,4,0.04
healthy,4,5,0.017000000000000008
healthy,5,1,-0.0049999999999999906
healthy,5,2,0.004000000000000006
healthy,5,3,-0.028000000000000004
healthy,5,4,0.04
healthy,5,5,0.017000000000000008
healthy,6,1,-0.0049999999999999906
healthy,6,2,0.004000000000000006
healthy,6,3,-0.028000000000000004
healthy,6,4,0.04
healthy,6,5,0.017000000000000008
healthy,7,1,-0.0049999999999999906
healthy,7,2,0.004000000000000006
healthy,7,3,-0.028000000000000004
healthy,7,4,0.04
healthy,7,5,0.017000000000000008
healthy,8,1,-0.0049999999999999906
healthy,8,2,0.004000000000000006
healthy,8,3,-0.028000000000000004
healthy,8,4,0.04
healthy,8,5,0.017000000000000008
healthy,9,1,-0.0049999999999999906
healthy,9,2,0.004000000000000006
healthy,9,3,-0.028000000000000004
healthy,9,4,0.04
healthy,9,5,0.017000000000000008
healthy,10,1,-0.0049999999999999906
healthy,10,2,0.004000000000000006
healthy,10,3,-0.028000000000000004
healthy,10,4,0.04
healthy,10,5,0.017000000000000008
healthy,11,1,-0.0049999999999999906
healthy,11,2,0.004000000000000006
healthy,11,3,-0.028000000000000004
healthy,11,4,0.04
healthy,11,5,0.017000000000000008
healthy,12,1,-0.0049999999999999906
healthy,12,2,0.004000000000000006
healthy,12,3,-0.028000000000000004
healthy,12,4,0.04
healthy,12,5,0.017000000000000008
healthy,13,1,-0.0049999999999999906
healthy,13,2,0.004000000000000006
healthy,13,3,-0.028000000000000004
healthy,13,4,0.04
healthy,13,5,0.017000000000000008
healthy,14,1,-0.0049999999999999906
healthy,14,2,0.004000000000000006
healthy,14,3,-0.028000000000000004
healthy,14,4,0.04
healthy,14,5,0.017000000000000008
healthy,15,1,-0.0049999999999999906
healthy,15,2,0.004000000000000006
healthy,15,3,-0.028000000000000004
healthy,15,4,0.04
healthy,15,5,0.017000000000000008
healthy,16,1,-0.0049999999999999906
healthy,16,2,0.004000000000000006
healthy,16,3,-0.028000000000000004
healthy,16,4,0.04
