condition,agent,block,cumulative_perceived_reward
healthy,1,1,1040.7786859006237
healthy,1,2,450.23617083943935
healthy,1,3,939.7205335699904
healthy,1,4,1156.9658553162208
healthy,1,5,1482.2285590561173
healthy,2,1,1042.0387786563983
healthy,2,2,442.8853352196068
healthy,2,3,934.2296386699475
healthy,2,4,1151.4157658380514
healthy,2,5,1476.2010826361677
healthy,3,1,1052.9865074086501
healthy,3,2,446.7290381666215
healthy,3,3,935.0717236195069
healthy,3,4,1150.426584279188
healthy,3,5,1469.094223737195
healthy,4,1,1049.8985629657514
healthy,4,2,463.06465579942085
healthy,4,3,941.0188579069791
healthy,4,4,1156.8700451673935
healthy,4,5,1488.6410380067146
healthy,5,1,1048.8599968035073
healthy,5,2,454.7228340804847
healthy,5,3,944.6909174922596
healthy,5,4,1145.9300256504803
healthy,5,5,1473.063174788805
healthy,6,1,1044.962988374713
healthy,6,2,469.97866312958666
healthy,6,3,955.1227953819462
healthy,6,4,1164.8231558192206
healthy,6,5,1502.6917994534845
healthy,7,1,1043.0119640402222
healthy,7,2,452.106849764041
healthy,7,3,936.508399632482
healthy,7,4,1153.1520567987245
healthy,7,5,1478.9952476460696
healthy,8,1,1049.2820552393534
healthy,8,2,452.7660402793005
healthy,8,3,939.183046169254
healthy,8,4,1150.50414948501
healthy,8,5,1486.5802855505049
healthy,9,1,1040.6916597171517
healthy,9,2,426.46827408329756
healthy,9,3,908.2343102365596
healthy,9,4,1133.7815269807545
healthy,9,5,1460.6533215250722
healthy,10,1,1047.5199813633283
healthy,10,2,466.7829462656679
healthy,10,3,952.7042845959364
healthy,10,4,1172.921231649107
healthy,10,5,1499.97175509342
healthy,11,1,1049.4020232799612
healthy,11,2,451.4740120007633
healthy,11,3,942.2684039927711
healthy,11,4,1175.1850511165087
healthy,11,5,1495.7751967950073
healthy,12,1,1041.1517918770019
healthy,12,2,463.8199514956249
healthy,12,3,945.7502675848509
healthy,12,4,1169.4003840182445
healthy,12,5,1494.302130962933
healthy,13,1,1046.7998961320643
healthy,13,2,467.5779709229786
healthy,13,3,943.2667668160263
healthy,13,4,1154.9316539321803
healthy,13,5,1482.0555635771568
healthy,14,1,1042.9707295591509
healthy,14,2,459.9641768289607
healthy,14,3,938.8916150852208
healthy,14,4,1163.852824303364
healthy,14,5,1507.9752793608238
healthy,15,1,1052.388509565812
healthy,15,2,463.9196864658491
healthy,15,3,950.0032147543965
healthy,15,4,1160.3257060240153
healthy,15,5,1492.5722840653516
healthy,16,1,1035.9238570259154
healthy,16,2,432.9894511922224
healthy,16,3,913.3800325401426
healthy,16,4,1135.6523546458063
healthy,16,5,1456.5211742357633
healthy,17,1,1045.4459167228022
healthy,17,2,463.85613315744587
healthy,17,3,953.5331864165457
healthy,17,4,1169.0264864561966
healthy,17,5,1489.2287461761298
healthy,18,1,1051.0032879845835
healthy,18,2,457.95059866079356
healthy,18,3,946.1368348114605
healthy,18,4,1154.6337252133665
healthy,18,5,1481.9416590612148
healthy,19,1,1050.3561321374134
healthy,19,2,452.8317161158843
healthy,19,3,944.4285835980705
healthy,19,4,1157.6769586162015
healthy,19,5,1498.275585444805
healthy,20,1,1042.0849616905855
healthy,20,2,458.3499089978338
healthy,20,3,938.0927122228974
healthy,20,4,1154.4332723151103
healthy,20,5,1500.4950564920314
healthy,21,1,1050.7902242181524
healthy,21,2,464.4362190480826
healthy,21,3,952.0225515446782
healthy,21,4,1179.8470492243991
healthy,21,5,1511.6716550387089
healthy,22,1,1052.179314150128
healthy,22,2,457.5912432384198
healthy,22,3,948.3354062045743
healthy,22,4,1158.0467429546864
healthy,22,5,1491.6983375543277
healthy,23,1,1051.980671559008
healthy,23,2,468.3134051863184
healthy,23,3,946.5763402004465
healthy,23,4,1165.1401283310656
healthy,23,5,1501.8952518257872
healthy,24,1,1052.4436476517044
healthy,24,2,456.73655324975226
healthy,24,3,938.3362481731938
healthy,24,4,1155.7789896259858
healthy,24,5,1486.4877209605525
healthy,25,1,1045.5582459874806
healthy,25,2,470.52093533315053
healthy,25,3,947.9641143237055
healthy,25,4,1171.6535015059521
healthy,25,5,1505.1505870884089
healthy,26,1,1054.2281572024172
healthy,26,2,463.38497581126387
healthy,26,3,954.6071152173165
healthy,26,4,1164.286488612392
