condition,agent,total_reward
healthy,1,7583593.570953905
healthy,2,7562414.965688244
healthy,3,7536746.393063647
healthy,4,7555034.567352655
healthy,5,7596949.815732266
healthy,6,7546261.021103616
healthy,7,7576586.292745182
healthy,8,7593027.179656217
healthy,9,7564291.342976984
healthy,10,7648473.146605151
healthy,11,7596785.245742519
healthy,12,7654415.6000385815
healthy,13,7597233.140453906
healthy,14,7600922.767057956
healthy,15,7631864.719683107
healthy,16,7609920.413461374
healthy,17,7516242.149425912
healthy,18,7565939.960746041
healthy,19,7643542.27451138
healthy,20,7606041.376592149
healthy,21,7594175.628840243
healthy,22,7555353.523103392
healthy,23,7642705.782333381
healthy,24,7573797.094315772
healthy,25,7621709.48796022
healthy,26,7632885.3403450325
healthy,27,7560112.449154273
healthy,28,7645687.860709563
healthy,29,7571105.684395513
healthy,30,7571299.550734392
healthy,31,7640160.470373728
healthy,32,7560954.255026604
healthy,33,7598749.747005051
healthy,34,7573533.714140074
healthy,35,7676596.48711573
healthy,36,7623620.721059661
healthy,37,7634037.298186019
healthy,38,7599726.527807317
healthy,39,7599615.241772775
healthy,40,7596157.096322073
healthy,41,7567549.495720179
healthy,42,7583308.972472261
healthy,43,7551617.347721831
healthy,44,7567633.000509693
healthy,45,7637302.343924178
healthy,46,7615395.051827115
healthy,47,7657489.044383091
healthy,48,7641115.389929114
healthy,49,7690058.655287526
healthy,50,7670425.769750374
depleted,1,2800136.1972590135
depleted,2,2795000.277365887
depleted,3,2799337.1001402256
depleted,4,2802628.390740938
depleted,5,2806686.4491589614
depleted,6,2798320.4636023496
depleted,7,2813927.5210708077
depleted,8,2799182.951819001
depleted,9,2799024.497315026
depleted,10,2809789.936475982
depleted,11,2798095.9064184334
depleted,12,2795655.228960559
depleted,13,2801827.3247358026
depleted,14,2790959.111897828
depleted,15,2794754.902593016
depleted,16,2801619.2597573986
depleted,17,2801315.791219701
depleted,18,2798341.2970604966
depleted,19,2797048.438913147
depleted,20,2795433.12823418
depleted,21,2798326.243734264
depleted,22,2796072.1006395365
depleted,23,2802382.350243858
depleted,24,2800822.153442193
depleted,25,2794145.993273886
depleted,26,2793901.2248191214
depleted,27,2791591.615488679
depleted,28,2796806.1408567936
depleted,29,2794670.791719066
depleted,30,2793311.427817842
depleted,31,2806471.452063489
depleted,32,2800315.5098582795
depleted,33,2800243.752422494
depleted,34,2789211.495442112
depleted,35,2797454.4301119214
depleted,36,2802689.7623538836
depleted,37,2795346.80208919
depleted,38,2808788.3373477785
depleted,39,2794719.5899641984
depleted,40,2791897.5605236026
depleted,41,2803105.1309941276
depleted,42,2795374.169319385
depleted,43,2796637.516693122
depleted,44,2799674.203970691
depleted,45,2795615.9273128076
depleted,46,2798202.359316802
depleted,47,2795531.941833575
depleted,48,2799988.2094249595
depleted,49,2796996.821614996
depleted,50,2800574.786056952
overactive,1,6176482.265131992
overactive,2,6391609.427235517
overactive,3,6359157.875162808
overactive,4,6233279.015170632
overactive,5,6252216.681508345
overactive,6,6268341.256659454
overactive,7,6312459.173362535
overactive,8,6346291.942303767
overactive,9,6253119.213786935
overactive,10,6429670.591718528
overactive,11,6252414.712864093
overactive,12,6373890.09121767
overactive,13,6397820.891696491
overactive,14,6314912.074330652
overactive,15,6293287.122940023
overactive,16,6319841.56048682
overactive,17,6206766.696929426
overactive,18,6285785.872027864
overactive,19,6172335.1252113115
overactive,20,6362654.06732925
overactive,21,6179609.6825790955
overactive,22,6193037.732526542
overactive,23,6283447.0036369655
overactive,24,6330665.316851247
overactive,25,6238422.155943928
overactive,26,6415023.447844506
overactive,27,6290360.79480853
overactive,28,6222119.46288646
overactive,29,6219469.700395788
overactive,30,6463698.800471975
overactive,31,6245452.578282796
overactive,32,6405742.119521983
overactive,33,6241453.462424357
overactive,34,6333419.91665669
overactive,35,6335560.487215898
overactive,36,6162760.000231218
overactive,37,6259453.055276228
overactive,38,6364696.664791823
overactive,39,6422749.564167513
overactive,40,6245087.608364361
overactive,41,6289085.170218794
overactive,42,6340532.473322877
overactive,43,6404840.945199975
overactive,44,6197708.672672676
overactive,45,6275407.312196886
overactive,46,6316346.801884606
overactive,47,6230862.5508107785
overactive,48,6458265.55253764
overactive,49,6363789.665559458
overactive,50,6386899.447660877
