agent,trial,episode,deck,reward,cumulative_reward,win_stay,lose_shift,condition,seed
1,1,1,3,0.5,0.5,,,depleted,0
1,2,1,2,0.5,1.0,0.0,0.0,depleted,0
1,3,1,2,0.5,1.5,1.0,0.0,depleted,0
1,4,1,1,1.0,2.5,0.0,0.0,depleted,0
1,5,1,1,1.0,3.5,1.0,0.0,depleted,0
1,6,1,0,1.0,4.5,0.0,0.0,depleted,0
1,7,1,0,1.0,5.5,1.0,0.0,depleted,0
1,8,1,0,1.0,6.5,1.0,0.0,depleted,0
1,9,1,0,1.0,7.5,1.0,0.0,depleted,0
1,10,1,3,0.5,8.0,0.0,0.0,depleted,0
1,11,1,2,0.5,8.5,0.0,0.0,depleted,0
1,12,1,3,0.5,9.0,0.0,0.0,depleted,0
1,13,1,2,0.5,9.5,0.0,0.0,depleted,0
1,14,1,2,0.5,10.0,1.0,0.0,depleted,0
1,15,1,3,0.5,10.5,0.0,0.0,depleted,0
1,16,1,2,-2.5,8.0,0.0,0.0,depleted,0
1,17,1,2,0.5,8.5,0.0,0.0,depleted,0
1,18,1,2,0.5,9.0,1.0,0.0,depleted,0
1,19,1,2,-2.5,6.5,1.0,0.0,depleted,0
1,20,1,3,0.5,7.0,0.0,1.0,depleted,0
1,1,2,1,1.0,1.0,,,depleted,0
1,2,2,3,0.5,1.5,0.0,0.0,depleted,0
1,3,2,2,0.5,2.0,0.0,0.0,depleted,0
1,4,2,0,1.0,3.0,0.0,0.0,depleted,0
1,5,2,1,1.0,4.0,0.0,0.0,depleted,0
1,6,2,3,0.5,4.5,0.0,0.0,depleted,0
1,7,2,2,0.5,5.0,0.0,0.0,depleted,0
1,8,2,0,1.0,6.0,0.0,0.0,depleted,0
1,9,2,3,0.5,6.5,0.0,0.0,depleted,0
1,10,2,2,0.5,7.0,0.0,0.0,depleted,0
1,11,2,3,0.5,7.5,0.0,0.0,depleted,0
1,12,2,0,1.0,8.5,0.0,0.0,depleted,0
1,13,2,0,1.0,9.5,1.0,0.0,depleted,0
1,14,2,3,0.5,10.0,0.0,0.0,depleted,0
1,15,2,0,1.0,11.0,0.0,0.0,depleted,0
1,16,2,2,0.5,11.5,0.0,0.0,depleted,0
1,17,2,0,-2.5,9.0,0.0,0.0,depleted,0
1,18,2,1,-2.5,6.5,0.0,1.0,depleted,0
1,19,2,1,-2.5,4.0,0.0,0.0,depleted,0
1,20,2,1,1.0,5.0,0.0,0.0,depleted,0
1,1,3,1,1.0,1.0,,,depleted,0
1,2,3,0,1.0,2.0,0.0,0.0,depleted,0
1,3,3,0,1.0,3.0,1.0,0.0,depleted,0
1,4,3,0,1.0,4.0,1.0,0.0,depleted,0
1,5,3,0,1.0,5.0,1.0,0.0,depleted,0
1,6,3,2,0.5,5.5,0.0,0.0,depleted,0
1,7,3,2,0.5,6.0,1.0,0.0,depleted,0
1,8,3,2,0.5,6.5,1.0,0.0,depleted,0
1,9,3,1,1.0,7.5,0.0,0.0,depleted,0
1,10,3,2,0.5,8.0,0.0,0.0,depleted,0
1,11,3,3,0.5,8.5,0.0,0.0,depleted,0
1,12,3,1,-2.5,6.0,0.0,0.0,depleted,0
1,13,3,1,-2.5,3.5,0.0,0.0,depleted,0
1,14,3,3,0.5,4.0,0.0,1.0,depleted,0
1,15,3,3,0.5,4.5,1.0,0.0,depleted,0
1,16,3,3,0.5,5.0,1.0,0.0,depleted,0
1,17,3,1,1.0,6.0,0.0,0.0,depleted,0
1,18,3,2,0.5,6.5,0.0,0.0,depleted,0
1,19,3,3,0.5,7.0,0.0,0.0,depleted,0
1,20,3,2,-2.5,4.5,0.0,0.0,depleted,0
1,1,4,3,0.5,0.5,,,depleted,0
1,2,4,2,0.5,1.0,0.0,0.0,depleted,0
1,3,4,2,0.5,1.5,1.0,0.0,depleted,0
1,4,4,1,1.0,2.5,0.0,0.0,depleted,0
1,5,4,3,0.5,3.0,0.0,0.0,depleted,0
1,6,4,0,1.0,4.0,0.0,0.0,depleted,0
1,7,4,2,0.5,4.5,0.0,0.0,depleted,0
1,8,4,2,0.5,5.0,1.0,0.0,depleted,0
