agent,episode,trial,deck,true_reward,perceived_reward,temperature,expl_rate,rpe,dopamine,cumulative_true_reward,cumulative_perceived_reward,win_stay,lose_shift,condition,seed
1,1,1,0,100.0,102.79009971730719,0.5279999999999999,0.24975,252.0,0.8558019943461437,100.0,102.79009971730719,,,overactive,0
1,1,2,2,50.0,52.7264339308075,0.5146075213569254,0.24950025,18.000000000000004,0.9090573572323003,150.0,155.5165336481147,False,False,overactive,0
1,1,3,3,50.0,54.04568747519649,0.5018262342642479,0.24925074975,18.000000000000004,0.9618274990078597,200.0,209.5622211233112,False,False,overactive,0
1,1,4,3,50.0,55.327801787140544,0.48916140023811366,0.24900149900025,18.000000000000004,1.0131120714856214,250.0,264.89002291045176,True,False,overactive,0
1,1,5,0,100.0,113.2138639981297,0.4768531028434508,0.24875249750124975,36.00000000000001,1.064277279962594,350.0,378.10388690858144,False,False,overactive,0
1,1,6,1,100.0,115.62689532046689,0.46457345280897744,0.2485037450037485,36.00000000000001,1.112537906409338,450.0,493.7307822290483,False,False,overactive,0
1,1,7,0,100.0,117.98236331545753,0.4529909024617588,0.24825524125874476,36.00000000000001,1.1596472663091508,550.0,611.7131455445059,False,False,overactive,0
1,1,8,2,50.0,60.0,0.44168465608580376,0.24800698601748603,18.000000000000004,1.2,600.0,671.7131455445059,False,False,overactive,0
1,1,9,3,50.0,60.0,0.432,0.24775897903146854,18.000000000000004,1.2,650.0,731.7131455445059,False,False,overactive,0
1,1,10,2,50.0,60.0,0.432,0.24751122005243706,18.000000000000004,1.2,700.0,791.7131455445059,False,False,overactive,0
1,1,11,2,50.0,60.0,0.432,0.24726370883238463,18.000000000000004,1.2,750.0,851.7131455445059,True,False,overactive,0
1,1,12,1,100.0,120.0,0.432,0.24701644512355225,36.00000000000001,1.2,850.0,971.7131455445059,False,False,overactive,0
1,1,13,1,-200.0,-278.5643940518169,0.432,0.2467694286784287,-72.00000000000001,1.1764788012994223,650.0,693.1487514926889,True,False,overactive,0
1,1,14,2,50.0,60.0,0.4376450876881386,0.24652265924975025,18.000000000000004,1.2,700.0,753.1487514926889,False,True,overactive,0
1,1,15,3,50.0,60.0,0.432,0.24627613659050052,18.000000000000004,1.2,750.0,813.1487514926889,False,False,overactive,0
1,1,16,3,50.0,60.0,0.432,0.24602986045391,18.000000000000004,1.2,800.0,873.1487514926889,True,False,overactive,0
1,1,17,3,-200.0,-345.6511701681716,0.432,0.2457838305934561,-72.00000000000001,1.1768242498721162,600.0,527.4975813245173,True,False,overactive,0
1,1,18,0,100.0,120.0,0.4375621800306921,0.24553804676286264,36.00000000000001,1.2,700.0,647.4975813245173,False,True,overactive,0
1,1,19,0,100.0,120.0,0.432,0.24529250871609978,36.00000000000001,1.2,800.0,767.4975813245173,True,False,overactive,0
1,1,20,0,-200.0,-321.8728722805708,0.432,0.24504721620738368,-72.00000000000001,1.1767034831011154,600.0,445.62470904394655,True,False,overactive,0
1,2,1,0,100.0,110.11700851935866,0.49199999999999994,0.2448021689911763,33.224667307632714,1.0023401703871733,100.0,110.11700851935866,,,overactive,0
1,2,2,2,50.0,56.32976467591265,0.4794383591070784,0.24455736682218512,16.5763862838682,1.0531905870365061,150.0,166.4467731952713,False,False,overactive,0
1,2,3,3,50.0,57.554329416753994,0.4672342591112385,0.24431280945536293,16.540766438169697,1.1021731766701597,200.0,224.0011026120253,False,False,overactive,0
1,2,4,3,50.0,58.72075492778856,0.4554784375991616,0.24406849664590757,16.506149351747208,1.1488301971115424,250.0,282.72185753981387,True,False,overactive,0
1,2,5,0,100.0,119.70383597568288,0.44428075269322975,0.24382442814926167,32.9432256720505,1.194076719513658,350.0,402.42569351549673,False,False,overactive,0
1,2,6,1,100.0,120.0,0.43342158731672203,0.2435806037211124,32.878073826347396,1.2,450.0,522.4256935154967,False,False,overactive,0
1,2,7,0,100.0,120.0,0.432,0.24333702311739128,32.81447619048265,1.2,550.0,642.4256935154967,False,False,overactive,0
1,2,8,2,50.0,60.0,0.432,0.2430936860942739,16.380000000000003,1.2,600.0,702.4256935154967,False,False,overactive,0
1,2,9,3,50.0,60.0,0.432,0.24285059240817963,16.380000000000003,1.2,650.0,762.4256935154967,False,False,overactive,0
1,2,10,2,50.0,60.0,0.432,0.24260774181577147,16.380000000000003,1.2,700.0,822.4256935154967,False,False,overactive,0
1,2,11,2,50.0,60.0,0.432,0.24236513407395568,16.380000000000003,1.2,750.0,882.4256935154967,True,False,overactive,0
1,2,12,1,100.0,120.0,0.432,0.24212276893988172,32.760000000000005,1.2,850.0,1002.4256935154967,False,False,overactive,0
1,2,13,3,50.0,60.0,0.432,0.24188064617094182,25.521238639399062,1.2,900.0,1062.4256935154967,False,False,overactive,0
1,2,14,2,50.0,60.0,0.432,0.24163876552477087,18.000000000000004,1.2,950.0,1122.4256935154967,False,False,overactive,0
1,2,15,0,100.0,120.0,0.432,0.2413971267592461,36.00000000000001,1.2,1050.0,1242.4256935154967,False,False,overactive,0
1,2,16,0,100.0,120.0,0.432,0.24115572963248685,36.00000000000001,1.2,1150.0,1362.4256935154967,True,False,overactive,0
1,2,17,3,50.0,60.0,0.432,0.24091457390285437,18.000000000000004,1.2,1200.0,1422.4256935154967,False,False,overactive,0
1,2,18,0,-200.0,-304.4466563133442,0.432,0.24067365932895152,-72.00000000000001,1.1767435193381155,1000.0,1117.9790372021525,False,False,overactive,0
1,2,19,1,-200.0,-281.75356911509647,0.4375815553588523,0.24043298566962257,-72.00000000000001,1.1542388669597463,800.0,836.225468087056,False,True,overactive,0
1,2,20,2,-200.0,-317.53154542556786,0.44298267192966084,0.24019255268395295,-72.00000000000001,1.1324298149205776,600.0,518.6939226614882,False,True,overactive,0
1,3,1,0,100.0,110.04767591828477,0.49199999999999994,0.239952360131269,31.041399473836258,1.0009535183656955,100.0,110.04767591828477,,,overactive,0
1,3,2,2,50.0,56.31742896764742,0.47977115559223305,0.23971240777113773,15.011705630763647,1.052697158705897,150.0,166.3651048859322,False,False,overactive,0
1,3,3,3,50.0,57.54670912887943,0.46735268191058466,0.2394726953633666,14.941984024469754,1.1018683651551768,200.0,223.91181401481163,False,False,overactive,0
1,3,4,3,50.0,58.71602067915186,0.4555515923627575,0.23923322266800323,15.27714093333427,1.1486408271660744,250.0,282.6278346939635,True,False,overactive,0
1,3,5,0,100.0,119.68917560555016,0.44432620148014207,0.23899398944533523,30.534596613882336,1.1937835121110032,350.0,402.31701029951364,False,False,overactive,0
1,3,6,1,100.0,120.0,0.4334919570933592,0.2387549954558899,30.479085964157658,1.2,450.0,522.3170102995136,False,False,overactive,0
1,3,7,0,100.0,120.0,0.432,0.23851624046043401,30.481533333337854,1.2,550.0,642.3170102995136,False,False,overactive,0
1,3,8,2,50.0,60.0,0.432,0.2382777242199736,15.197400000000004,1.2,600.0,702.3170102995136,False,False,overactive,0
1,3,9,3,50.0,60.0,0.432,0.23803944649575362,14.711400000000003,1.2,650.0,762.3170102995136,False,False,overactive,0
1,3,10,2,50.0,60.0,0.432,0.23780140704925787,15.197400000000004,1.2,700.0,822.3170102995136,False,False,overactive,0
1,3,11,2,50.0,60.0,0.432,0.2375636056422086,15.148800000000001,1.2,750.0,882.3170102995136,True,False,overactive,0
1,3,12,1,100.0,120.0,0.432,0.2373260420365664,30.492000000000004,1.2,850.0,1002.3170102995136,False,False,overactive,0
1,3,13,3,50.0,60.0,0.432,0.23708871599452983,23.90123863939906,1.2,900.0,1062.3170102995136,False,False,overactive,0
1,3,14,2,50.0,60.0,0.432,0.2368516272785353,16.380000000000003,1.2,950.0,1122.3170102995136,False,False,overactive,0
1,3,15,0,100.0,120.0,0.432,0.23661477565125674,32.760000000000005,1.2,1050.0,1242.3170102995136,False,False,overactive,0
1,3,16,0,100.0,120.0,0.432,0.23637816087560548,32.760000000000005,1.2,1150.0,1362.3170102995136,True,False,overactive,0
1,3,17,3,50.0,60.0,0.432,0.23614178271472988,16.380000000000003,1.2,1200.0,1422.3170102995136,False,False,overactive,0
1,3,18,3,-200.0,-288.3766523078719,0.432,0.23590564093201516,-63.779940279539716,1.1766869080680475,1000.0,1133.9403579916418,True,False,overactive,0
1,3,19,2,-200.0,-260.1786945731584,0.43759514206366856,0.23566973529108315,-72.00000000000001,1.1538670872003582,800.0,873.7616634184834,False,True,overactive,0
1,3,20,1,-200.0,-348.617902263147,0.443071899071914,0.23543406555579208,-72.00000000000001,1.1323331350047883,600.0,525.1437611553364,False,True,overactive,0
1,4,1,0,100.0,110.02002966440863,0.49199999999999994,0.2351986314902363,29.51075196229856,1.0004005932881725,100.0,110.02002966440863,,,overactive,0
1,4,2,2,50.0,56.26260098709848,0.47990385761083854,0.23496343285874605,13.870255691065712,1.0505040394839391,150.0,166.2826306515071,False,False,overactive,0
1,4,3,3,50.0,57.48185049476546,0.4678790305238545,0.2347284694258873,13.78617183010002,1.0992740197906183,200.0,223.76448114627257,False,False,overactive,0
1,4,4,3,50.0,58.66316351172147,0.4561742352502515,0.23449374095646142,14.344703993413358,1.146526540468859,250.0,282.42764465799405,True,False,overactive,0
1,4,5,0,100.0,119.65111999543836,0.4448336302874738,0.23425924721550495,28.77698246729251,1.1930223999087672,350.0,402.0787646534324,False,False,overactive,0
1,4,6,1,100.0,120.0,0.43367462402189577,0.23402498796828944,28.7298061749105,1.2,450.0,522.0787646534325,False,False,overactive,0
1,4,7,0,100.0,120.0,0.432,0.23379096298032115,28.812995333336502,1.2,550.0,642.0787646534325,False,False,overactive,0
1,4,8,2,50.0,60.0,0.432,0.23355717201734083,13.527342,1.2,600.0,702.0787646534325,False,False,overactive,0
1,4,9,3,50.0,60.0,0.432,0.2333236148453235,13.007322000000002,1.2,650.0,762.0787646534325,False,False,overactive,0
1,4,10,2,50.0,60.0,0.432,0.23309029123047817,14.332644000000002,1.2,700.0,822.0787646534325,False,False,overactive,0
1,4,11,2,50.0,60.0,0.432,0.2328572009392477,14.218920000000002,1.2,750.0,882.0787646534325,True,False,overactive,0
1,4,12,1,100.0,120.0,0.432,0.23262434373830845,27.203400000000002,1.2,850.0,1002.0787646534325,False,False,overactive,0
1,4,13,3,50.0,60.0,0.432,0.23239171939457015,22.71863863939906,1.2,900.0,1062.0787646534325,False,False,overactive,0
1,4,14,2,50.0,60.0,0.432,0.23215932767517558,15.148800000000001,1.2,950.0,1122.0787646534325,False,False,overactive,0
1,4,15,0,100.0,120.0,0.432,0.2319271683475004,30.394800000000007,1.2,1050.0,1242.0787646534325,False,False,overactive,0
1,4,16,0,100.0,120.0,0.432,0.2316952411791529,30.443400000000004,1.2,1150.0,1362.0787646534325,True,False,overactive,0
1,4,17,3,50.0,60.0,0.432,0.23146354593797375,15.246000000000002,1.2,1200.0,1422.0787646534325,False,False,overactive,0
1,4,18,1,-200.0,-264.9570484172267,0.432,0.23123208239203577,-55.99377066722717,1.1766939119995363,1000.0,1157.1217162362059,False,False,overactive,0
1,4,19,2,-200.0,-306.2569097946363,0.43759346112011127,0.23100085030964373,-72.00000000000001,1.1540896079789165,800.0,850.8648064415696,False,True,overactive,0
1,4,20,3,-200.0,-316.71299066669195,0.44301849408506,0.2307698494593341,-72.00000000000001,1.1323720554039138,600.0,534.1518157748776,False,True,overactive,0
1,5,1,0,100.0,110.08708716915115,0.49199999999999994,0.23053907960987477,28.410033662995065,1.0017417433830227,100.0,110.08708716915115,,,overactive,0
1,5,2,2,50.0,56.26057186876601,0.47958198158807447,0.2303085405302649,12.737931822103327,1.0504228747506401,150.0,166.34765903791714,False,False,overactive,0
1,5,3,3,50.0,57.460002930130585,0.46789851005984634,0.23007823198973462,12.950881368964657,1.0984001172052233,200.0,223.80766196804774,False,False,overactive,0
1,5,4,3,50.0,58.63789230390751,0.45638397187074636,0.2298481537577449,13.640696854591647,1.1455156921563006,250.0,282.44555427195525,True,False,overactive,0
1,5,5,0,100.0,119.6380836524545,0.4450762338824878,0.22961830560398716,27.49520167247524,1.19276167304909,350.0,402.08363792440974,False,False,overactive,0
1,5,6,1,100.0,120.0,0.43373719846821834,0.2293886872983832,25.274196034910595,1.2,450.0,522.0836379244097,False,False,overactive,0
1,5,7,0,100.0,120.0,0.432,0.2291592986110848,27.645018733335547,1.2,550.0,642.0836379244097,False,False,overactive,0
1,5,8,2,50.0,60.0,0.432,0.22893013931247372,12.696999660000001,1.2,600.0,702.0836379244097,False,False,overactive,0
1,5,9,3,50.0,60.0,0.432,0.22870120917316125,11.777881320000002,1.2,650.0,762.0836379244097,False,False,overactive,0
1,5,10,2,50.0,60.0,0.432,0.2284725079639881,13.6994184,1.2,700.0,822.0836379244097,False,False,overactive,0
1,5,11,2,50.0,60.0,0.432,0.22824403545602412,13.568004000000004,1.2,750.0,882.0836379244097,True,False,overactive,0
1,5,12,1,100.0,120.0,0.432,0.2280157914205681,23.879322,1.2,850.0,1002.0836379244097,False,False,overactive,0
1,5,13,3,50.0,60.0,0.432,0.22778777562914754,21.85388263939906,1.2,900.0,1062.0836379244097,False,False,overactive,0
